id,url,raw_path,text_path,raw_size_bytes,text_size_bytes,word_count,status_code
19886,https://www.povarenok.ru/recipes/show/19886/,recipes_corpus/povarenok/raw/19886.html,recipes_corpus/povarenok/text/19886.txt,364445,56494,5109,200
19885,https://www.povarenok.ru/recipes/show/19885/,recipes_corpus/povarenok/raw/19885.html,recipes_corpus/povarenok/text/19885.txt,366232,54423,4992,200
19884,https://www.povarenok.ru/recipes/show/19884/,recipes_corpus/povarenok/raw/19884.html,recipes_corpus/povarenok/text/19884.txt,415507,59541,5493,200
19883,https://www.povarenok.ru/recipes/show/19883/,recipes_corpus/povarenok/raw/19883.html,recipes_corpus/povarenok/text/19883.txt,407317,58963,5433,200
19882,https://www.povarenok.ru/recipes/show/19882/,recipes_corpus/povarenok/raw/19882.html,recipes_corpus/povarenok/text/19882.txt,347948,52304,4780,200
19881,https://www.povarenok.ru/recipes/show/19881/,recipes_corpus/povarenok/raw/19881.html,recipes_corpus/povarenok/text/19881.txt,388391,56379,5161,200
19880,https://www.povarenok.ru/recipes/show/19880/,recipes_corpus/povarenok/raw/19880.html,recipes_corpus/povarenok/text/19880.txt,412418,66476,5949,200
19879,https://www.povarenok.ru/recipes/show/19879/,recipes_corpus/povarenok/raw/19879.html,recipes_corpus/povarenok/text/19879.txt,403829,62454,5620,200
19878,https://www.povarenok.ru/recipes/show/19878/,recipes_corpus/povarenok/raw/19878.html,recipes_corpus/povarenok/text/19878.txt,404486,61776,5582,200
19877,https://www.povarenok.ru/recipes/show/19877/,recipes_corpus/povarenok/raw/19877.html,recipes_corpus/povarenok/text/19877.txt,415228,59229,5453,200
19876,https://www.povarenok.ru/recipes/show/19876/,recipes_corpus/povarenok/raw/19876.html,recipes_corpus/povarenok/text/19876.txt,330837,51445,4698,200
19875,https://www.povarenok.ru/recipes/show/19875/,recipes_corpus/povarenok/raw/19875.html,recipes_corpus/povarenok/text/19875.txt,361646,56442,5127,200
19874,https://www.povarenok.ru/recipes/show/19874/,recipes_corpus/povarenok/raw/19874.html,recipes_corpus/povarenok/text/19874.txt,411994,70274,6297,200
