rank,freq,zipf
287,2336,746.003
288,2326,743.413
289,2324,740.841
290,2288,738.286
291,2281,735.749
292,2280,733.229
293,2277,730.727
294,2277,728.241
295,2250,725.773
296,2246,723.321
297,2234,720.886
298,2233,718.466
299,2228,716.064
300,2224,713.677
301,2222,711.306
302,2206,708.95
303,2197,706.611
304,2193,704.286
305,2192,701.977
306,2181,699.683
307,2180,697.404
308,2174,695.14
309,2172,692.89
310,2168,690.655
311,2166,688.434
312,2166,686.228
313,2162,684.035
314,2160,681.857
315,2150,679.692
316,2148,677.541
317,2144,675.404
318,2135,673.28
319,2132,671.169
320,2129,669.072
321,2129,666.988
322,2126,664.916
323,2125,662.858
324,2119,660.812
325,2111,658.778
326,2107,656.758
327,2104,654.749
328,2104,652.753
329,2103,650.769
330,2102,648.797
331,2082,646.837
332,2078,644.889
333,2069,642.952
334,2068,641.027
335,2067,639.113
336,2066,637.211
337,2063,635.32
338,2059,633.441
339,2056,631.572
340,2049,629.715
341,2049,627.868
342,2047,626.032
343,2045,624.207
344,2045,622.392
345,2045,620.588
346,2044,618.795
347,2043,617.012
348,2043,615.239
349,2042,613.476
350,2039,611.723
351,2038,609.98
352,2037,608.247
353,2037,606.524
354,2035,604.811
355,2035,603.107
356,2034,601.413
357,2030,599.728
358,2029,598.053
359,2025,596.387
360,2025,594.731
361,2025,593.083
362,2024,591.445
363,2020,589.815
364,2019,588.195
365,2019,586.584
366,2018,584.981
367,2017,583.387
368,2016,581.802
369,2016,580.225
370,2016,578.657
371,2015,577.097
372,2015,575.546
373,2015,574.003
374,2014,572.468
375,2014,570.941
376,2014,569.423
377,2013,567.912
378,2013,566.41
379,2010,564.916
380,2010,563.429
381,2009,561.95
382,2009,560.479
383,2008,559.016
384,2007,557.56
385,2007,556.112
386,2006,554.671
387,2006,553.238
388,2006,551.812
389,2005,550.393
390,2005,548.982
391,2005,547.578
392,2005,546.181
393,2005,544.791
394,2005,543.409
395,2004,542.033
396,2004,540.664
397,2004,539.302
398,2003,537.947
399,2003,536.599
400,2002,535.258
401,2002,533.923
402,2002,532.595
403,2002,531.273
404,2002,529.958
405,2002,528.649
406,2002,527.347
407,2002,526.052
408,2002,524.762
409,2001,523.479
410,2001,522.202
411,2001,520.932
412,2001,519.667
413,2001,518.409
414,2001,517.157
415,2001,515.911
416,2000,514.671
417,2000,513.436
418,2000,512.208
419,2000,510.986
420,2000,509.769
421,2000,508.558
422,2000,507.353
423,2000,506.154
424,2000,504.96
425,2000,503.772
426,2000,502.589
427,2000,501.412
428,2000,500.241
429,2000,499.075
430,2000,497.914
431,2000,496.759
432,2000,495.609
433,2000,494.464
434,2000,493.325
435,2000,492.191
436,2000,491.062
437,2000,489.938
438,2000,488.82
439,2000,487.706
440,2000,486.598
441,2000,485.494
442,2000,484.396
443,2000,483.302
444,1998,482.214
445,1997,481.13
446,1997,480.052
447,1997,478.978
448,1996,477.908
449,1994,476.844
450,1994,475.784
451,1994,474.729
452,1990,473.679
453,1970,472.634
454,1968,471.593
455,1967,470.556
456,1955,469.524
457,1940,468.497
458,1935,467.474
459,1926,466.455
460,1867,465.441
461,1857,464.432
462,1844,463.426
463,1839,462.425
464,1807,461.429
465,1777,460.437
466,1773,459.448
467,1763,458.465
468,1702,457.485
469,1694,456.51
470,1694,455.538
471,1680,454.571
472,1667,453.608
473,1663,452.649
474,1630,451.694
475,1618,450.743
476,1567,449.796
477,1565,448.853
478,1541,447.914
479,1500,446.979
480,1496,446.048
481,1495,445.121
482,1482,444.197
483,1475,443.277
484,1469,442.362
485,1431,441.449
486,1420,440.541
487,1413,439.637
488,1386,438.736
489,1386,437.838
490,1383,436.945
491,1381,436.055
492,1379,435.169
493,1379,434.286
494,1379,433.407
495,1377,432.531
496,1352,431.659
497,1352,430.791
498,1349,429.926
499,1346,429.064
500,1324,428.206
501,1323,427.351
502,1323,426.5
503,1318,425.652
504,1314,424.808
505,1314,423.966
506,1310,423.128
507,1301,422.294
508,1299,421.463
509,1295,420.635
510,1294,419.81
511,1276,418.988
512,1274,418.17
513,1273,417.355
514,1271,416.543
515,1267,415.734
516,1265,414.928
517,1262,414.126
518,1261,413.326
519,1261,412.53
520,1260,411.737
521,1259,410.946
522,1257,410.159
523,1257,409.375
524,1254,408.594
525,1252,407.815
526,1247,407.04
527,1245,406.268
528,1244,405.498
529,1240,404.732
530,1237,403.968
531,1234,403.207
532,1232,402.449
533,1230,401.694
534,1219,400.942
535,1216,400.193
536,1216,399.446
537,1215,398.702
538,1209,397.961
539,1206,397.223
540,1206,396.487
541,1205,395.754
542,1204,395.024
543,1201,394.297
544,1199,393.572
545,1192,392.85
546,1190,392.13
547,1189,391.413
548,1187,390.699
549,1184,389.987
550,1183,389.278
551,1182,388.572
552,1182,387.868
553,1178,387.166
554,1177,386.468
555,1171,385.771
556,1170,385.077
557,1160,384.386
558,1155,383.697
559,1153,383.011
560,1153,382.327
561,1147,381.645
562,1146,380.966
563,1143,380.29
564,1140,379.615
565,1138,378.943
566,1136,378.274
567,1136,377.607
568,1135,376.942
569,1134,376.279
570,1134,375.619
571,1133,374.961
572,1133,374.306
573,1132,373.653
574,1130,373.002
575,1129,372.353
576,1128,371.707
577,1127,371.062
578,1125,370.42
579,1125,369.781
580,1125,369.143
581,1122,368.508
582,1122,367.875
583,1121,367.244
584,1118,366.615
585,1116,365.988
586,1115,365.363
587,1113,364.741
588,1113,364.121
589,1112,363.503
590,1111,362.886
591,1108,362.272
592,1106,361.66
593,1105,361.051
594,1103,360.443
595,1103,359.837
596,1103,359.233
597,1103,358.631
598,1102,358.032
599,1102,357.434
600,1101,356.838
601,1100,356.245
602,1099,355.653
603,1095,355.063
604,1095,354.475
605,1095,353.889
606,1093,353.305
607,1093,352.723
608,1092,352.143
609,1086,351.565
610,1086,350.989
611,1085,350.414
612,1085,349.842
613,1084,349.271
614,1084,348.702
615,1082,348.135
616,1081,347.57
617,1079,347.006
618,1078,346.445
619,1078,345.885
620,1076,345.327
621,1076,344.771
622,1074,344.217
623,1073,343.665
624,1073,343.114
625,1071,342.565
626,1070,342.018
627,1069,341.472
628,1068,340.928
629,1067,340.386
630,1066,339.846
631,1066,339.307
632,1066,338.771
633,1066,338.235
634,1066,337.702
635,1066,337.17
636,1065,336.64
637,1065,336.111
638,1065,335.585
639,1064,335.059
640,1064,334.536
641,1063,334.014
642,1062,333.494
643,1061,332.975
644,1061,332.458
645,1061,331.943
646,1060,331.429
647,1060,330.917
648,1060,330.406
649,1059,329.897
650,1059,329.389
651,1059,328.883
652,1058,328.379
653,1058,327.876
654,1057,327.375
655,1057,326.875
656,1057,326.377
657,1056,325.88
658,1056,325.384
659,1055,324.891
660,1055,324.398
661,1055,323.908
662,1054,323.418
663,1054,322.931
664,1053,322.444
665,1053,321.959
666,1053,321.476
667,1052,320.994
668,1051,320.513
669,1051,320.034
670,1051,319.557
671,1048,319.08
672,1048,318.606
